Bird,ORICOLL,AGECOLL,MTHCOLL,AGECURR,scapsH,scapsS,scapsB,breastH,breastS,breastB,crownH,crownS,crownB
129,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,arquata,NA,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,arquata,NA,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,arquata,NA,jun,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,arquata,NA,jun,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,arquata,NA,jun,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,arquata,NA,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,arquata,NA,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,arquata,NA,jun,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,arquata,NA,jun,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,arquata,NA,jun,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,arquata,ad,dec,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,arquata,ad,dec,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,arquata,1y,oct,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,arquata,1y,jul,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,arquata,ad,dec,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,arquata,ad,jan,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,arquata,ad,jan,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,arquata,ad,jul,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,arquata,ad,jul,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,arquata,ad,jul,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,arquata,ad,jul,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,arquata,ad,jul,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,arquata,ad,feb,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,arquata,NA,mar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,arquata,NA,mar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,arquata,NA,mar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,arquata,ad,mar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,arquata,NA,mar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,arquata,ad,mar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,arquata,NA,feb,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,arquata,ad,feb,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,arquata,ad,feb,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,arquata,ad,feb,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,arquata,ad,feb,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,arquata,ad,feb,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,arquata,ad,feb,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,arquata,ad,feb,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,arquata,ad,feb,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,arquata,ad,feb,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,arquata,ad,jan,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,arquata,ad,jan,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,arquata,ad,feb,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,arquata,ad,mar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,arquata,ad,mar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,arquata,ad,mar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,arquata,ad,mar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,arquata,ad,mar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,arquata,NA,mar,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
