IDSPEC1,ORICOLL2,AGECOLL3,SEX4,MTHCOLL5,AGECURR6,SCAPSH7,SCAPSS8,SCAPSB9,BREASTH10,BREASTS11,BREASTB12,CROWNH13,CROWNS14,CROWNB15,CONTROLH16,CONTROLS17,CONTROLB18,WING19,BILL20,BILLDEPTH21,BILL1DEPTH22,TARSUS23,TARSUSTHICK24,TARSUS2THICK25,TOE26,TAIL27,COORDSX28,COORDSY29
91.10.1.1836,orientalis,ad,f,nov,1880,31.58117647,60.02862745,11.39215686,30.15952941,51.28352941,42.84509804,29.31105882,58.45137255,16.92039216,NA,NA,NA,317,175,,,84.48,5.98,4.93,5.07,109,81.89009369,26.3301098
91.10.1.1857,orientalis,ad,NA,nov,1865,30.41647059,62.30823529,13.06039216,31.12094118,58.52784314,36.92,28.14776471,60.90509804,15.36784314,NA,NA,NA,,185,16.03,11.95,84.39,6.23,4.5,5.7,109,79.02709,26.77637
1941.5.30.1786,orientalis,ad,f,jul,1919,30.77647059,63.08,10.78588235,31.66305882,55.71803922,44.82509804,28.43152941,59.82509804,15.75137255,NA,NA,NA,,161,,11.4,80.85,6.47,4.81,5.09,105,67.02413,24.89132
91.10.1.1863,orientalis,ad,NA,dec,1873,30.17364706,59.81647059,13.32078431,32.61035294,55.45647059,37.54039216,29.39435294,61.28901961,19.4772549,NA,NA,NA,316,167,15.02,9.88,95.36,6.7,4.4,6.9,80,80.3933,27.48693
91.10.1.1833,orientalis,ad,f,dec,1871,30.47435294,60.55882353,12.02039216,31.20282353,57.52470588,33.46196078,28.06870588,58.96666667,25.57607843,34.557,247.648,227.439,301,173,15.95,9.56,89.05,6.93,4.24,6.55,99,80.07729,12.99779
91.10.1.1858,orientalis,ad,NA,nov,1865,31.79011765,60.8227451,13.18745098,30.30494118,57.91529412,38.84980392,28.52611765,59.19215686,25.75921569,NA,NA,NA,,146,13.51,9.74,88.4,6.08,4.08,5.85,104,78.98117676,26.9582445
91.10.1.1867,orientalis,ad,F,mar,1876,29.4,59.77019608,16.56823529,31.07576471,55.48392157,37.11882353,28.80282353,55.87333333,23.74588235,NA,NA,NA,298,173,15.61,11.13,91.01,6.97,4.83,6.11,96,88.36511965,22.5700056
91.10.1.1854,orientalis,ad,F,feb,1880,31.18447059,59.05921569,12.39960784,30.35294118,55.87529412,34.34509804,30.49835294,56.16666667,16.96509804,NA,NA,NA,301,177,14.75,11.47,84.14,6.25,4.47,6.23,101,81.85340403,25.4418493
91.10.1.185?,orientalis,ad,f,dec,1871,36.17505882,58.62627451,12.73098039,30.44752941,55.22666667,38.76078431,27.792,57.59058824,19.7827451,NA,NA,NA,311,169,13.82,10.82,91.69,6.83,4.47,5.79,96,71.42859736,30.1777878
91.10.1.1802,orientalis,ad,m,nov,1870,30.75247059,59.05960784,13.41921569,30.65505882,53.85176471,34.67176471,27.21458824,56.3145098,24.59764706,35.397,247.877,145.37,286,139.25,13.63,8.46,83.67,5.68,3.97,6.05,95,76.1879065,28.5272579
