IDSPEC1,ORICOLL2,AGECOLL3,SEX4,MTHCOLL5,AGECURR6,SCAPSH7,SCAPSS8,SCAPSB9,BREASTH10,BREASTS11,BREASTB12,CROWNH13,CROWNS14,CROWNB15,CONTROLH16,CONTROLS17,CONTROLB18,WING19,BILL20,BILLDEPTH21,BILL1DEPTH22,TARSUS23,TARSUSTHICK24,TARSUS2THICK25,TOE26,TAIL27,COORDSX28,COORDSY29
1949.whi.1.1179,orientalis,1y,f,sep,1937,29.58494118,62.33176471,9.670980392,31.28752941,58.2827451,27.48941176,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,86.10971492,25.5823555
1908.1.8.307,orientalis,ad,f,oct,1902,29.80658824,61.23607843,14.50156863,30.35294118,61.01686275,31.75568627,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,121.4608374,31.2191478
91.10.1.1868,orientalis,ad,m,dec,1872,31.00941176,57.07215686,15.72,31.49082353,54.00470588,30.3572549,29.424,58.58313725,15.14588235,NA,NA,NA,,,,,,,,,,88.26590902,22.4881891
1903.7.3.849,orientalis,ad,NA,dec,1890,34.42447059,53.81372549,11.60666667,32.49458824,52.58862745,37.0427451,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,119.3074835,26.06015
91.10.1.1861,orientalis,1y,f,oct,1977,28.88752941,61.45176471,10.11960784,30.15670588,51.24431373,36.55647059,#VALUE!,#VALUE!,#VALUE!,34.79,245.266,205.991,,,,,,,,,,83.92659038,28.2462822
1949.whi.1.1180,orientalis,1y,f,sep,1937,31.83811765,57.77568627,9.268627451,31.10682353,57.73333333,33.47960784,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,86.14780786,25.4304743
1908.1.8.306,orientalis,ad,m,feb,1900,32.89411765,55.00196078,10.99176471,30.72705882,52.86980392,25.44431373,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,121.4858211,31.2285362
1910.5.2.62,orientalis,ad,m,dec,1906,30.55058824,54.66196078,15.43294118,31.59388235,55.05137255,37.0854902,28.38070588,52.21176471,23.85137255,NA,NA,NA,,,,,,,,,,114.0327132,22.5131045
96.7.1.754,orientalis,ad,f,mar,1868,33.42494118,61.38313725,11.27294118,31.416,62.77098039,28.60666667,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,109.75237,19.2151475
73.12.3.67,orientalis,1y,m,jul,1871,32.12752941,58.61607843,12.63607843,31.67858824,58.41333333,29.3854902,#VALUE!,#VALUE!,#VALUE!,35.112,245.46,224.756,,,,,,,,,,30.65238083,29.9194052
94.2.19.68,orientalis,ad,m,feb,1894,32.78964706,57.79647059,13.95372549,30.73694118,59.52862745,23.37294118,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,14.64427061,-22.8950764
75.10.1.23,orientalis,1y,NA,oct,1875,30.28376471,60.91372549,9.740784314,31.44141176,57.92196078,27.78313725,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,18.46230643,-32.4743416
73.12.10.103,orientalis,ad,NA,dec,1838,32.81929412,57.72470588,12.08627451,31.08564706,59.06156863,28.11098039,29.54682353,59.01686275,10.90862745,NA,NA,NA,,,,,,,,,,12.55089882,-14.2512115
45.7.6.289,orientalis,ad,f,dec,1845,32.352,60.44470588,8.960784314,31.59247059,54.26745098,34.75686275,#VALUE!,#VALUE!,#VALUE!,34.718,248.796,195.276,,,,,,,,,,18.21373407,-31.315079
94.2.19.57,orientalis,ad,NA,dec,1894,29.664,59.22235294,11.83921569,30.95858824,58.79098039,27.11254902,28.20564706,63.10666667,11.31647059,NA,NA,NA,,,,,,,,,,18.42720925,-32.1028934
1902.4.20.289,orientalis,ad,f,may,1901,28.61929412,59.8172549,11.45372549,31.08141176,53.43568627,34.56156863,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,32.27252577,14.0675491
1965M.2987,orientalis,ad,m,apr,1916,30.70729412,56.79921569,13.15568627,30.50541176,60.60823529,31.33098039,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,40.86685,-2.15551
1965M.2986,orientalis,ad,f,apr,1916,28.32564706,62.9372549,16.03098039,28.89317647,55.25647059,40.3627451,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,41.10758,-1.87433
1965M.2992,orientalis,ad,m,oct,1916,30.29364706,57.74784314,10.34392157,31.59670588,55.05960784,38.94705882,#VALUE!,#VALUE!,#VALUE!,34.634,248.989,195.75,,,,,,,,,,36.44035,-0.72066
1965M.2985,orientalis,ad,m,apr,1916,34.26776471,55.84352941,12.65372549,30.99529412,53.52784314,38.08823529,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,41.40384,-1.74896
1965M.2989,orientalis,ad,m,apr,1916,33.74541176,58.25333333,13.72705882,30.70447059,49.82627451,38.61960784,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,40.95547,-1.88076
1965M.2990,orientalis,ad,m,apr,1916,32.77835294,61.5145098,14.23686275,31.608,56.21019608,36.97333333,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,40.95547,-1.88076
1965M.2988,orientalis,ad,m,apr,1916,31.62211765,57.87647059,15.94784314,31.72094118,49,48.65215686,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,40.90913823,-2.1891495
1965M.2984,orientalis,ad,m,apr,1916,31.968,56.44627451,12.24313725,30.50823529,51.4254902,41.32862745,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,41.0487957,-2.164058
1965M.2991,orientalis,ad,f,apr,1916,30.02823529,55.93686275,16.52901961,32.26305882,48.28784314,39.66941176,28.35529412,56.25490196,17.6372549,NA,NA,NA,,,,,,,,,,40.87131155,-2.219798
1949.46.20,arquata,1y,f,aug,1943,27.009,147.626,21.026,NA,NA,NA,22.583,147.403,23.179,34.079,253.642,201.548,277,105.9,13.17,9.6,76.27,5.96,4.06,5.1,107,11.71192208,58.0560533
1913.6.24.40,orientalis,1y,NA,oct,1910,20.644,149.307,29.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,130.81,12.76,10.04,84.03,5.37,4.15,5.3,103,34.84556743,-12.361042
1922.12.19.14,orientalis,1y,NA,oct,1920,19.281,146.631,63.688,NA,NA,NA,19.876,141.807,46.523,33.797,253.946,196.277,299,172,17.41,11.86,91.19,5.85,4.83,5.41,111,39.39334044,-6.9871806
1.4.84,orientalis,ad,NA,apr,1884,20.781,160.257,28.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,18.29200996,-32.7283195
91.8.1.133,orientalis,ad,NA,mar,1891,20.093,153.846,44.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,31.02328245,-29.8555506
1951.13.331,arquata,1y,m,jul,1947,NA,NA,NA,NA,NA,NA,20.897,154.182,33,NA,NA,NA,,,,,,,,,,-4.253073663,56.7056033
